time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20130527T003127,1.29398,0,0,1.29448,0,0
20130527T003418,1.29403,0,0,1.29453,0,0
20130527T003429,1.29407,0,0,1.29457,0,0
20130527T003438,1.29403,0,0,1.29453,0,0
20130527T003455,1.29407,0,0,1.29457,0,0
20130527T003754,1.29403,0,0,1.29453,0,0
20130527T003756,1.29398,0,0,1.29448,0,0
20130527T003853,1.29393,0,0,1.29443,0,0
20130527T004916,1.29398,0,0,1.29448,0,0
20130527T004946,1.29393,0,0,1.29443,0,0
20130527T004947,1.29398,0,0,1.29448,0,0
20130527T004955,1.29403,0,0,1.29453,0,0
20130527T005004,1.29398,0,0,1.29448,0,0
20130527T005019,1.29393,0,0,1.29443,0,0
20130527T005031,1.29398,0,0,1.29448,0,0
20130527T005037,1.29393,0,0,1.29443,0,0
20130527T005047,1.29385,0,0,1.29435,0,0
20130527T005204,1.2939,0,0,1.2944,0,0
20130527T005206,1.29395,0,0,1.29445,0,0
20130527T005316,1.2939,0,0,1.2944,0,0
20130527T005339,1.29385,0,0,1.29435,0,0
20130527T005414,1.29398,0,0,1.29448,0,0
20130527T005415,1.29393,0,0,1.29443,0,0
20130527T005559,1.29387,0,0,1.29437,0,0
20130527T005612,1.2938,0,0,1.2943,0,0
20130527T005639,1.29375,0,0,1.29425,0,0
20130527T005639,1.2937,0,0,1.2942,0,0
20130527T005640,1.29363,0,0,1.29413,0,0
20130527T005640,1.29358,0,0,1.29408,0,0
20130527T005640,1.29363,0,0,1.29413,0,0
20130527T005641,1.29367,0,0,1.29417,0,0
20130527T005653,1.29373,0,0,1.29423,0,0
20130527T005702,1.29367,0,0,1.29417,0,0
20130527T005934,1.2936,0,0,1.2941,0,0
20130527T005946,1.29355,0,0,1.29405,0,0
20130527T010005,1.2936,0,0,1.2941,0,0
20130527T010135,1.29365,0,0,1.29415,0,0
20130527T010606,1.2936,0,0,1.2941,0,0
20130527T010621,1.29355,0,0,1.29405,0,0
20130527T010625,1.2935,0,0,1.294,0,0
20130527T010647,1.29345,0,0,1.29395,0,0
20130527T010652,1.2934,0,0,1.2939,0,0
20130527T010703,1.29345,0,0,1.29395,0,0
20130527T010703,1.2934,0,0,1.29405,0,0
20130527T010703,1.2935,0,0,1.294,0,0
